Radial	Mass	RMSRadius	Eigenvectors
1	  3.104314	  0.324864	0.4314763615 0.5657696040 0.5618813353 0.3918238281 0.1552345949 0.0199499480 -0.0006832285 0.0002773038 -0.0001438416 0.0000870830 -0.0000562759 0.0000374106 -0.0000251400 0.0000169445 -0.0000114243 0.0000077002 
2	  3.670681	  0.575501	-0.3134380464 -0.2809901415 0.0007192704 0.4603723295 0.6819888122 0.3801600352 0.0349521857 -0.0023557151 0.0005429861 -0.0001785025 0.0000768742 -0.0000406951 0.0000245231 -0.0000157926 0.0000104782 -0.0000070421 
3	  4.013667	  0.761169	0.2508971619 0.1651620958 -0.1288231231 -0.3702169152 0.0126409294 0.7084087677 0.5035473101 -0.0176657012 0.0123314434 -0.0072972976 0.0045511439 -0.0029520122 0.0019554866 -0.0013069574 0.0008765512 -0.0005886346 
4	  4.252955	  0.956892	-0.2107716007 -0.1043601901 0.1613226234 0.2499611355 -0.2175756310 -0.2254684912 0.7080131022 0.4910144731 -0.1070193630 0.0517357313 -0.0298060450 0.0186975989 -0.0122179745 0.0081207645 -0.0054335619 0.0036446859 
5	  4.428623	  1.185643	0.2002480216 0.0754527529 -0.1804232519 -0.1792296432 0.2752682776 -0.0279328146 -0.2514543205 0.8050630107 0.2866715558 -0.1137975755 0.0625888302 -0.0385963100 0.0250827499 -0.0166442111 0.0111291641 -0.0074609407 
6	  4.545310	  1.421020	-0.1741142575 -0.0521955785 0.1692005175 0.1183160398 -0.2506745083 0.1175361320 0.0473014219 -0.1192994567 0.9083188294 -0.0748068995 0.0216680746 -0.0086362538 0.0042525763 -0.0023988274 0.0014645545 -0.0009317592 
7	  4.635453	  2.162285	0.0900647860 0.0217729450 -0.0916528902 -0.0454884446 0.1272624216 -0.0841688113 0.0191321887 0.0035223767 0.1701974163 0.9126705220 -0.2605751737 0.1313041394 -0.0784061415 0.0501064247 -0.0328621387 0.0217560210 
8	  4.696445	  3.383268	-0.0391115918 -0.0079485074 0.0408491956 0.0150680152 -0.0533398051 0.0408388351 -0.0170568497 0.0074330291 -0.0324693768 0.3370800428 0.8738079117 -0.2733238249 0.1541589103 -0.0966949950 0.0627012614 -0.0410187296 
9	  4.720973	  5.651855	0.0172227597 0.0032348562 -0.0181554447 -0.0058058352 0.0230475443 -0.0185244087 0.0087363274 -0.0044521108 0.0114515088 -0.0622584469 0.3600349913 0.9047802883 -0.1668250803 0.1080566863 -0.0685536919 0.0435065134 
10	  4.728241	  8.578865	-0.0091401278 -0.0016746548 0.0096600378 0.0029509567 -0.0121569510 0.0099046739 -0.0048107883 0.0025112081 -0.0056325527 0.0257322367 -0.1181523487 0.2385763913 0.9600333542 -0.0562184254 0.0475207136 -0.0296811204 
11	  4.731341	 11.441870	0.0061223464 0.0011095959 -0.0064776280 -0.0019391516 0.0081207053 -0.0066531359 0.0032676797 -0.0017138240 0.0036202219 -0.0153727632 0.0641827669 -0.1339777418 0.1052871507 0.9773772218 -0.0959413892 0.0437776420 
12	  4.733226	 14.383899	-0.0037814944 -0.0006808429 0.0040036877 0.0011833672 -0.0050066466 0.0041148413 -0.0020328092 0.0010685998 -0.0021950271 0.0089775016 -0.0352103709 0.0702340727 -0.0688900339 0.1232802604 0.9677062864 -0.1930368079 
13	  4.734666	 28.329113	0.0018199862 0.0003260813 -0.0019280051 -0.0005641649 0.0024060220 -0.0019819094 0.0009829637 -0.0005187429 0.0010565937 -0.0042401326 0.0157594097 -0.0293997259 0.0277222400 -0.0319607468 0.2038249279 0.9775045690 
14	  5.179232	  0.231777	-0.4425401891 0.0399944487 0.4955007282 -0.2002487639 -0.2581144249 0.4041802115 -0.3567749225 0.2717301846 -0.2019362292 0.1500691403 -0.1089640230 0.0763436254 -0.0522764790 0.0354602215 -0.0239744401 0.0161932495 
15	  6.758632	  0.086986	0.4964493398 -0.4815525725 -0.0907361536 0.4268960165 -0.4133832693 0.2974066214 -0.1983923883 0.1322699096 -0.0896204332 0.0612723088 -0.0418042159 0.0283483773 -0.0191458250 0.0129096355 -0.0087000455 0.0058623311 
16	  9.819991	  0.043359	-0.2922588465 0.5659659763 -0.5622984294 0.4051967514 -0.2595356892 0.1635096897 -0.1051124468 0.0692641135 -0.0464479530 0.0313930851 -0.0212330629 0.0143346993 -0.0096638338 0.0065110673 -0.0043859573 0.0029542726 
