Radial	Mass	RMSRadius	Eigenvectors
1	  9.458414	  7.084383	0.1754826713 -0.1719056017 0.5450652014 -0.0421730370 0.6547754501 -0.1942834589 0.2107535159 -0.1585029342 0.1166240391 -0.0848348651 0.0614874512 -0.0445285355 0.0321619129 -0.0230145860 0.0161087345 -0.0107863006 0.0066480151 -0.0035191184 0.0013996242 -0.0003042533 
2	 10.021454	  9.666520	-0.1576519292 0.1336932780 -0.5555980998 -0.1980650528 -0.6910995010 1.4229845610 0.2627679562 0.0777674518 -0.0708291713 0.0546855766 -0.0403507325 0.0293385308 -0.0211783028 0.0151293207 -0.0105725438 0.0070705439 -0.0043539844 0.0023033453 -0.0009156936 0.0001989973 
3	 10.357885	 30.437583	0.1495455143 -0.1048132283 0.5542632439 0.5211822834 0.1675136571 -4.1258021946 2.9882210589 0.4231463773 -0.0234291199 -0.0144438797 0.0181731219 -0.0154140526 0.0118369549 -0.0086934666 0.0061537891 -0.0041400509 0.0025561454 -0.0013536587 0.0005383084 -0.0001169838 
4	 10.603352	  8.797376	-0.1293314967 0.0054718426 -0.3109978682 -1.4690232940 2.4019509766 4.6046124308 -11.6322181406 8.0576527471 -2.1360076542 1.3145934777 -0.8724878883 0.6007085515 -0.4211340904 0.2961653389 -0.2052641807 0.1366968748 -0.0840007127 0.0443924841 -0.0176393918 0.0038324361 
5	 10.797651	  6.394541	-0.0740366723 -0.2946768884 0.5976362670 -4.1871410852 10.0956070469 -6.8451321923 -8.2363666553 19.8030236161 -16.6185710120 8.6048187422 -5.4098896611 3.6217288285 -2.4989452150 1.7413978229 -1.2006849235 0.7973069195 -0.4891725239 0.2582903615 -0.1025816232 0.0222812859 
6	 10.958697	  9.774903	-0.0167628210 -0.6722313281 1.7993598830 -8.1566278498 22.9075972104 -35.1983403867 31.0910265720 -11.0637255957 -8.5075431797 13.2766913857 -8.8708025982 6.0290177786 -4.1762777042 2.9127531284 -2.0085766759 1.3337931478 -0.8183286638 0.4320916600 -0.1716073796 0.0372737283 
7	 11.086973	 10.147591	-0.0535000805 -0.4401311786 1.1296331498 -7.0233566880 24.8754740906 -50.2785006510 70.2189419759 -73.4249062527 56.9854483671 -31.3012242509 13.7303009105 -7.6738541837 4.7853517629 -3.1471112528 2.0991090480 -1.3676977364 0.8300497957 -0.4355376503 0.1723458118 -0.0373542933 
8	 11.222952	 19.542398	-0.1467583319 0.3266261060 -1.2714709446 0.1878122021 8.7999108740 -26.9478880884 50.1187104930 -72.1115494423 84.6063992429 -78.7678528171 56.1918291829 -33.8135646852 21.7115955972 -14.4792127744 9.7286869572 -6.3648983217 3.8719203835 -2.0343681163 0.8056184517 -0.1746814791 
9	 11.368448	 36.270792	0.2453942037 -0.9555858767 3.4632579638 -6.4862512267 5.1400506139 3.3791934500 -18.3586420721 38.1655405655 -60.2726146211 77.9419708356 -79.9257160114 62.6015687051 -40.7375246364 27.0011467541 -18.0286663003 11.7456034736 -7.1267569332 3.7385846362 -1.4790069665 0.3204820096 
10	 11.487319	 12.113955	-0.4868138666 2.0813055985 -7.7864263100 17.2597206956 -23.8673469730 22.8388666492 -14.5609610668 0.7840095567 17.9103623162 -40.7252146891 62.3617887257 -71.0651459497 59.9225222139 -40.8815895419 27.3697070104 -17.8095334655 10.7906073099 -5.6539121380 2.2346358721 -0.4838687709 
11	 11.546118	  7.376413	1.2250933873 -5.3272762558 20.4771634860 -47.8498028676 73.0238405375 -84.7936957343 84.4928114960 -78.1890877846 69.7049041390 -59.2607939427 44.7520375258 -25.2230215929 5.9563329350 4.0528679939 -4.9969471435 3.9791734279 -2.6427964527 1.4506735462 -0.5876834460 0.1289649199 
